ChargingStationCode,AverageTime0(seconds),AverageTime1(seconds),AverageTime2(seconds),AverageTime3(seconds),AverageTime4(seconds),AverageTime5(seconds),AverageTime6(seconds),AverageTime7(seconds),AverageTime8(seconds),AverageTime9(seconds),AverageTime10(seconds),AverageTime11(seconds),AverageTime12(seconds),AverageTime13(seconds),AverageTime14(seconds),AverageTime15(seconds),AverageTime16(seconds),AverageTime17(seconds),AverageTime18(seconds),AverageTime19(seconds),AverageTime20(seconds),AverageTime21(seconds),AverageTime22(seconds),AverageTime23(seconds)
CS00,10.011959999999997,67.47512299999998,1.8339352499999986,10.469054575000001,0.0,38.656658095105534,27.144396285049908,22.72811501889549,250.57356057829546,476.2537908728779,726.6035311622003,847.7727723571762,786.733184964345,635.1708034208389,345.4996447260052,169.3948581518919,149.6216866438079,138.1691028782622,387.1260326013695,794.9559410211393,1095.9399415643552,920.8701972257758,697.4866450603903,427.545539060713
CS02,20.10813358539264,16.02669966265831,36.45281086412485,17.14121150000006,0.0,65.4206180875178,57.408368778002774,43.68692821360627,323.55602788870345,541.7851877355928,772.4444126672474,873.2463805591336,929.1825122449151,657.4498667439702,363.1359329634621,215.03203049843125,170.8559591900279,230.96999151671614,462.72451793952513,817.9649631368299,1153.0234216367928,1002.8865153814792,793.7513024177323,430.17982389079
CS04,61.19162585445205,47.48170932074249,49.019726401266254,46.93523876061835,49.57173483656504,59.87662043531473,60.54889910811658,110.9754909798284,311.260261104218,516.3252056758918,833.9992482416909,923.999718593929,973.6075416582066,721.1538762042076,407.84744729525636,240.89491234548606,231.6132751954674,240.12718874634342,477.3763490677195,844.2666311528919,1167.7597551009972,1047.3845288307796,857.1711269578445,484.7209948718648
CS06,53.730198691020526,37.145031124389945,71.73318179455325,48.339105159662786,53.574869674780714,73.93011701522325,111.67072737739676,106.03088689078346,354.3876418530999,583.6867415131981,818.0388504181889,1008.9876561514708,1051.7493129324127,740.1190374738085,473.19045253313686,216.409967070516,225.71033187788257,330.22628053639653,528.0585900828879,957.527235724191,1260.9822153638856,1050.6271162733278,850.0802253201455,530.7854454401129
CS08,78.45401046619327,35.82912696505316,88.53702062391777,102.21500668820443,119.66510060883739,89.08192808516073,121.72065117050325,154.2170935418178,415.9012361673071,662.211887280984,914.8245935251249,1050.84956843339,1084.0640727186876,779.7869846480966,591.5447448622206,275.6923137088491,285.19015998860624,329.19217086407247,546.6509679848655,1054.31331576666,1381.0136276159565,1125.6556870339416,888.9332491205045,615.7628954512686
CS20,36.9910018055302,25.965814501016208,2.58290273065439,27.154507265374445,24.551814145318478,35.324080077017136,72.85119774198611,69.89727444158689,287.8206115800567,491.82270322034236,755.7061196725557,883.1414253678206,934.1251398678622,634.4260223162966,358.9487314108741,194.15751759320432,190.8097299209671,202.42039562289776,440.13579310525495,826.0335687880576,1143.67179693427,1010.0686769127102,781.0048820669184,427.46156353569523
CS22,56.541962744980644,41.48862634365738,40.064870987314144,59.010629276172764,37.14418029225331,76.15549757700428,85.67119761206143,91.77118464572683,313.8236053587512,571.4091854322478,807.8633761177895,959.7942256280746,958.2489347084038,726.3689829321106,387.7867386123974,217.74923647407974,233.56144994573881,285.14393528997294,494.08589063836905,887.359674322375,1216.5055984662893,1078.0828188180847,849.0113041042559,500.5119761375343
CS24,51.5058057966173,57.777567758315286,104.17714775358972,67.19445509564757,57.89318186986255,63.41731188851882,94.46549281426493,104.00794507040739,361.95381830403795,543.8773780487978,855.0778981948401,942.4597893843564,1064.257195336201,709.3468897716061,496.8139771793052,235.6771938513103,276.71443174691086,295.3361381118731,525.6414605416505,934.4572481913588,1251.2788552422478,1108.8029315447882,875.17019306817,543.4160734264123
CS26,58.64416853577202,58.60381049285683,127.82878111563778,115.59778700582655,94.06021300390573,78.455067174118,116.66321801860254,119.44443408974847,377.8407755967929,643.2908581097457,917.752635518451,1012.539176899237,1099.5638434456787,810.3452227300766,527.8923237975143,335.6186809983777,251.44219939806013,363.5678421532696,614.376232978721,1010.8697155972528,1343.515339746045,1129.2829449171668,886.5797782152413,601.5140522572648
CS28,88.74016441054142,91.40507254573383,167.99676388126974,136.19547792378688,151.79592477391773,132.68736906278872,166.49023267767114,169.4473616936686,419.055057129696,679.4770827878839,966.1743121583711,1107.4302331755018,1138.5312178904026,858.6404222142938,569.9378508404734,336.81020809182615,338.4869821630989,401.30889861735585,638.6968257888651,1063.9177142525966,1431.4353143593858,1161.7367209754154,931.0460811412934,597.9677658340822
